El(ft),Storage(acre-feet),Area(acres)
477,1093017,11802
477.1,1094197,11807
477.2,1095378,11813
477.3,1096560,11819
477.4,1097742,11825
477.5,1098925,11830
477.6,1100108,11836
477.7,1101292,11842
477.8,1102476,11847
477.9,1103661,11853
478,1104847,11859
478.1,1106033,11865
478.2,1107220,11870
478.3,1108407,11876
478.4,1109595,11882
478.5,1110784,11887
478.6,1111973,11893
478.7,1113162,11899
478.8,1114352,11905
478.9,1115543,11910
479,1116734,11916
479.1,1117926,11922
479.2,1119119,11928
479.3,1120312,11933
479.4,1121505,11939
479.5,1122700,11945
479.6,1123894,11950
479.7,1125090,11956
479.8,1126286,11962
479.9,1127482,11968
480,1128679,11973
480.1,1129876,11978
480.2,1131075,11983
480.3,1132273,11989
480.4,1133472,11994
480.5,1134672,11999
480.6,1135872,12005
480.7,1137073,12010
480.8,1138274,12015
480.9,1139476,12020
481,1140678,12026
481.1,1141881,12031
481.2,1143084,12036
481.3,1144288,12042
481.4,1145493,12047
481.5,1146698,12052
481.6,1147903,12058
481.7,1149109,12063
481.8,1150316,12068
481.9,1151523,12073
482,1152730,12079
482.1,1153939,12084
482.2,1155147,12089
482.3,1156356,12095
482.4,1157566,12100
482.5,1158776,12105
482.6,1159987,12110
482.7,1161198,12116
482.8,1162410,12121
482.9,1163623,12126
483,1164836,12132
483.1,1166049,12137
483.2,1167263,12142
483.3,1168477,12147
483.4,1169692,12152
483.5,1170908,12157
483.6,1172124,12162
483.7,1173340,12167
483.8,1174557,12173
483.9,1175775,12178
484,1176993,12183
484.1,1178211,12188
484.2,1179430,12193
484.3,1180650,12198
484.4,1181870,12203
484.5,1183090,12208
484.6,1184311,12213
484.7,1185533,12218
484.8,1186755,12223
484.9,1187977,12228
485,1189200,12233
485.1,1190424,12238
485.2,1191648,12243
485.3,1192872,12248
485.4,1194097,12253
485.5,1195323,12258
485.6,1196549,12263
485.7,1197776,12268
485.8,1199003,12273
485.9,1200230,12278
486,1201458,12283
486.1,1202687,12288
486.2,1203916,12293
486.3,1205145,12298
486.4,1206375,12303
486.5,1207606,12308
486.6,1208837,12313
486.7,1210069,12318
486.8,1211301,12323
486.9,1212533,12328
487,1213766,12333
487.1,1215000,12338
487.2,1216234,12343
487.3,1217469,12348
487.4,1218704,12353
487.5,1219939,12358
487.6,1221175,12363
487.7,1222412,12368
487.8,1223649,12374
487.9,1224887,12379
488,1226125,12384
488.1,1227363,12389
488.2,1228602,12394
488.3,1229842,12399
488.4,1231082,12404
488.5,1232323,12409
488.6,1233564,12414
488.7,1234806,12419
488.8,1236048,12424
488.9,1237290,12429
489,1238533,12434
489.1,1239777,12439
489.2,1241021,12444
489.3,1242266,12449
489.4,1243511,12454
489.5,1244757,12459
489.6,1246003,12464
489.7,1247249,12469
489.8,1248497,12474
489.9,1249744,12479
490,1250992,12484
