El(ft),Storage(acre-feet),Area(acres)
239,2793,238
239.1,2817,239
239.2,2841,241
239.3,2865,242
239.4,2889,243
239.5,2914,244
239.6,2938,245
239.7,2963,246
239.8,2987,247
239.9,3012,248
240,3037,249
240.1,3062,250
240.2,3087,251
240.3,3112,253
240.4,3138,254
240.5,3163,255
240.6,3188,256
240.7,3214,257
240.8,3240,258
240.9,3266,259
241,3292,260
241.1,3318,261
241.2,3344,262
241.3,3370,263
241.4,3396,264
241.5,3423,265
241.6,3449,266
241.7,3476,267
241.8,3503,268
241.9,3530,269
242,3557,270
242.1,3584,271
242.2,3611,272
242.3,3638,273
242.4,3665,274
242.5,3693,275
242.6,3720,276
242.7,3748,277
242.8,3775,277.67
242.9,3803,278.33
243,3831,279
243.1,3859,280
243.2,3887,281
243.3,3915,282
243.4,3944,283
243.5,3972,284
243.6,4001,285
243.7,4029,286
243.8,4058,287
243.9,4087,288
244,4115,289
244.1,4144,290
244.2,4173,291
244.3,4203,292
244.4,4232,294
244.5,4261,295
244.6,4291,296
244.7,4321,297
244.8,4350,298
244.9,4380,299
245,4410,300
245.1,4440,301
245.2,4470,303
245.3,4501,304
245.4,4531,305
245.5,4562,306
245.6,4592,307
245.7,4623,308
245.8,4654,309
245.9,4685,310
246,4716,312
246.1,4747,313
246.2,4779,314
246.3,4810,315
246.4,4842,316
246.5,4873,317
246.6,4905,318
246.7,4937,319
246.8,4969,320
246.9,5001,322
247,5033,323
247.1,5065,324
247.2,5098,325
247.3,5130,326
247.4,5163,327
247.5,5196,328
247.6,5229,329
247.7,5262,330
247.8,5295,331
247.9,5328,332
248,5361,333
248.1,5395,334
248.2,5428,335
248.3,5462,336
248.4,5495,337
248.5,5529,339
248.6,5563,340
248.7,5597,341
248.8,5631,342
248.9,5665,343
249,5700,344
249.1,5734,345
249.2,5769,346
249.3,5803,347
249.4,5838,348
249.5,5873,349
249.6,5908,350
249.7,5943,351
249.8,5978,352
249.9,6013,353
250,6049,354
250.1,6084,356
250.2,6120,357
250.3,6156,358
250.4,6192,359
250.5,6227,360
250.6,6264,362
250.7,6300,363
250.8,6336,364
250.9,6373,365
251,6409,366
251.1,6446,368
251.2,6483,369
251.3,6520,370
251.4,6557,371
251.5,6594,372
251.6,6631,373
251.7,6669,375
251.8,6706,376
251.9,6744,377
252,6781,378
252.1,6819,379
252.2,6857,381
252.3,6895,382
252.4,6934,383
252.5,6972,384
252.6,7011,385
252.7,7049,387
252.8,7088,388
252.9,7127,389
253,7166,390
253.1,7205,392
253.2,7244,393
253.3,7283,395
253.4,7323,396
253.5,7363,398
253.6,7403,399
253.7,7443,401
253.8,7483,402
253.9,7523,404
254,7563,405
254.1,7604,407
254.2,7645,408
254.3,7686,410
254.4,7727,411
254.5,7768,413
254.6,7809,414
254.7,7851,416
254.8,7892,417
254.9,7934,419
255,7976,420
255.1,8018,422
255.2,8060,423
255.3,8103,425
255.4,8145,426
255.5,8188,428
255.6,8231,429
255.7,8274,431
255.8,8317,432
255.9,8360,434
256,8404,435
256.1,8447,437
256.2,8491,438
256.3,8535,439
256.4,8579,441
256.5,8623,442
256.6,8667,443
256.7,8712,445
256.8,8756,446
256.9,8801,447
257,8846,449
257.1,8891,450
257.2,8936,452
257.3,8981,453
257.4,9026,454
257.5,9072,456
257.6,9118,457
257.7,9163,458
257.8,9209,460
257.9,9255,461
258,9301,462
258.1,9348,464
258.2,9394,465
258.3,9441,467
258.4,9488,468
258.5,9534,469
258.6,9581,471
258.7,9629,472
258.8,9676,473
258.9,9723,475
259,9771,476
259.1,9818,477
259.2,9866,479
259.3,9914,480
259.4,9962,481
259.5,10010,483
259.6,10059,484
259.7,10107,485
259.8,10156,486
259.9,10204,488
260,10253,489
260.1,10302,490
260.2,10351,492
260.3,10401,493
260.4,10450,494
260.5,10499,495
260.6,10549,497
260.7,10599,498
260.8,10649,499
260.9,10699,501
261,10749,502
261.1,10799,503
261.2,10849,505
261.3,10900,506
261.4,10951,507
261.5,11001,508
261.6,11052,510
261.7,11103,511
261.8,11155,512
261.9,11206,514
